ds,unique_id,y,no,loto
1996-01-05,N4,9,468,numbers4
1996-01-09,N4,5,472,numbers4
1996-01-12,N4,0,476,numbers4
1996-01-16,N4,3,480,numbers4
1996-01-19,N4,5,484,numbers4
1996-01-23,N4,8,488,numbers4
1996-01-26,N4,5,492,numbers4
1996-01-30,N4,2,496,numbers4
1996-02-02,N4,2,500,numbers4
1996-02-06,N4,7,504,numbers4
1996-02-09,N4,4,508,numbers4
1996-02-13,N4,5,512,numbers4
1996-02-16,N4,6,516,numbers4
1996-02-20,N4,2,520,numbers4
1996-02-23,N4,1,524,numbers4
1996-02-27,N4,6,528,numbers4
1996-03-01,N4,0,532,numbers4
1996-03-05,N4,0,536,numbers4
1996-03-08,N4,9,540,numbers4
1996-03-12,N4,3,544,numbers4
1996-03-15,N4,7,548,numbers4
1996-03-19,N4,3,552,numbers4
1996-03-22,N4,1,556,numbers4
1996-03-26,N4,9,560,numbers4
1996-03-29,N4,9,564,numbers4
1996-04-02,N4,6,568,numbers4
1996-04-05,N4,2,572,numbers4
1996-04-09,N4,1,576,numbers4
1996-04-12,N4,7,580,numbers4
1996-04-16,N4,5,584,numbers4
1996-04-19,N4,9,588,numbers4
1996-04-23,N4,1,592,numbers4
1996-04-26,N4,7,596,numbers4
1996-04-30,N4,5,600,numbers4
1996-05-03,N4,6,604,numbers4
1996-05-07,N4,5,608,numbers4
1996-05-10,N4,8,612,numbers4
1996-05-14,N4,0,616,numbers4
1996-05-17,N4,1,620,numbers4
1996-05-21,N4,7,624,numbers4
1996-05-24,N4,4,628,numbers4
1996-05-28,N4,9,632,numbers4
1996-05-31,N4,4,636,numbers4
1996-06-04,N4,1,640,numbers4
1996-06-07,N4,7,644,numbers4
1996-06-11,N4,8,648,numbers4
1996-06-14,N4,7,652,numbers4
1996-06-18,N4,2,656,numbers4
1996-06-21,N4,0,660,numbers4
1996-06-25,N4,7,664,numbers4
1996-06-28,N4,2,668,numbers4
1996-07-02,N4,9,672,numbers4
1996-07-05,N4,6,676,numbers4
1996-07-09,N4,5,680,numbers4
1996-07-12,N4,0,684,numbers4
1996-07-16,N4,4,688,numbers4
1996-07-19,N4,2,692,numbers4
1996-07-23,N4,4,696,numbers4
1996-07-26,N4,0,700,numbers4
1996-07-30,N4,4,704,numbers4
1996-08-02,N4,8,708,numbers4
1996-08-06,N4,4,712,numbers4
1996-08-09,N4,8,716,numbers4
1996-08-13,N4,9,720,numbers4
1996-08-16,N4,2,724,numbers4
1996-08-20,N4,7,728,numbers4
1996-08-23,N4,6,732,numbers4
1996-08-27,N4,0,736,numbers4
1996-08-30,N4,4,740,numbers4
1996-09-03,N4,0,744,numbers4
1996-09-06,N4,0,748,numbers4
1996-09-10,N4,7,752,numbers4
1996-09-13,N4,1,756,numbers4
1996-09-17,N4,2,760,numbers4
1996-09-20,N4,1,764,numbers4
1996-09-24,N4,1,768,numbers4
1996-09-27,N4,2,772,numbers4
1996-10-01,N4,5,776,numbers4
1996-10-04,N4,3,780,numbers4
1996-10-08,N4,6,784,numbers4
1996-10-11,N4,7,788,numbers4
1996-10-15,N4,4,792,numbers4
1996-10-18,N4,6,796,numbers4
1996-10-22,N4,1,800,numbers4
1996-10-25,N4,8,804,numbers4
1996-10-29,N4,2,808,numbers4
1996-11-01,N4,0,812,numbers4
1996-11-05,N4,2,816,numbers4
1996-11-08,N4,7,820,numbers4
1996-11-12,N4,2,824,numbers4
1996-11-15,N4,3,828,numbers4
1996-11-19,N4,0,832,numbers4
1996-11-22,N4,3,836,numbers4
1996-11-26,N4,8,840,numbers4
1996-11-29,N4,1,844,numbers4
1996-12-03,N4,5,848,numbers4
1996-12-06,N4,1,852,numbers4
1996-12-10,N4,9,856,numbers4
1996-12-13,N4,3,860,numbers4
1996-12-17,N4,5,864,numbers4
1996-12-20,N4,6,868,numbers4
1996-12-24,N4,8,872,numbers4
1996-12-27,N4,3,876,numbers4
1997-01-07,N4,4,880,numbers4
1997-01-10,N4,7,884,numbers4
1997-01-14,N4,7,888,numbers4
1997-01-17,N4,1,892,numbers4
1997-01-21,N4,9,896,numbers4
1997-01-24,N4,7,900,numbers4
1997-01-28,N4,6,904,numbers4
1997-01-31,N4,9,908,numbers4
1997-02-04,N4,9,912,numbers4
1997-02-07,N4,1,916,numbers4
1997-02-11,N4,1,920,numbers4
1997-02-14,N4,5,924,numbers4
1997-02-18,N4,2,928,numbers4
1997-02-21,N4,5,932,numbers4
1997-02-25,N4,1,936,numbers4
1997-02-28,N4,0,940,numbers4
1997-03-04,N4,3,944,numbers4
1997-03-07,N4,1,948,numbers4
1997-03-11,N4,1,952,numbers4
1997-03-14,N4,8,956,numbers4
1997-03-18,N4,3,960,numbers4
1997-03-21,N4,7,964,numbers4
1997-03-25,N4,4,968,numbers4
1997-03-28,N4,2,972,numbers4
1997-04-01,N4,2,976,numbers4
1997-04-04,N4,8,980,numbers4
1997-04-08,N4,7,984,numbers4
1997-04-11,N4,7,988,numbers4
1997-04-15,N4,8,992,numbers4
1997-04-18,N4,1,996,numbers4
1997-04-22,N4,0,1000,numbers4
1997-04-25,N4,7,1004,numbers4
1997-04-29,N4,1,1008,numbers4
1997-05-02,N4,4,1012,numbers4
1997-05-06,N4,5,1016,numbers4
1997-05-09,N4,7,1020,numbers4
1997-05-13,N4,5,1024,numbers4
1997-05-16,N4,0,1028,numbers4
1997-05-20,N4,4,1032,numbers4
1997-05-23,N4,9,1036,numbers4
1997-05-27,N4,3,1040,numbers4
1997-05-30,N4,5,1044,numbers4
1997-06-03,N4,8,1048,numbers4
1997-06-06,N4,5,1052,numbers4
1997-06-10,N4,8,1056,numbers4
1997-06-13,N4,2,1060,numbers4
1997-06-17,N4,0,1064,numbers4
1997-06-20,N4,9,1068,numbers4
1997-06-24,N4,5,1072,numbers4
1997-06-27,N4,8,1076,numbers4
1997-07-01,N4,3,1080,numbers4
1997-07-04,N4,0,1084,numbers4
1997-07-08,N4,3,1088,numbers4
1997-07-11,N4,2,1092,numbers4
1997-07-15,N4,6,1096,numbers4
1997-07-18,N4,0,1100,numbers4
1997-07-22,N4,6,1104,numbers4
1997-07-25,N4,9,1108,numbers4
1997-07-29,N4,3,1112,numbers4
1997-08-01,N4,8,1116,numbers4
1997-08-05,N4,7,1120,numbers4
1997-08-08,N4,4,1124,numbers4
1997-08-12,N4,2,1128,numbers4
1997-08-15,N4,6,1132,numbers4
1997-08-19,N4,6,1136,numbers4
1997-08-22,N4,5,1140,numbers4
1997-08-26,N4,0,1144,numbers4
1997-08-29,N4,9,1148,numbers4
1997-09-02,N4,7,1152,numbers4
1997-09-05,N4,4,1156,numbers4
1997-09-09,N4,0,1160,numbers4
1997-09-12,N4,4,1164,numbers4
1997-09-16,N4,9,1168,numbers4
1997-09-19,N4,9,1172,numbers4
1997-09-23,N4,6,1176,numbers4
1997-09-26,N4,4,1180,numbers4
1997-09-30,N4,9,1184,numbers4
1997-10-03,N4,1,1188,numbers4
1997-10-06,N4,2,1192,numbers4
1997-10-08,N4,5,1196,numbers4
1997-10-10,N4,6,1200,numbers4
1997-10-13,N4,4,1204,numbers4
1997-10-15,N4,9,1208,numbers4
1997-10-17,N4,0,1212,numbers4
1997-10-20,N4,4,1216,numbers4
1997-10-22,N4,7,1220,numbers4
1997-10-24,N4,9,1224,numbers4
1997-10-27,N4,4,1228,numbers4
1997-10-29,N4,9,1232,numbers4
1997-10-31,N4,8,1236,numbers4
1997-11-03,N4,5,1240,numbers4
1997-11-05,N4,6,1244,numbers4
1997-11-07,N4,6,1248,numbers4
1997-11-10,N4,1,1252,numbers4
1997-11-12,N4,8,1256,numbers4
1997-11-14,N4,9,1260,numbers4
1997-11-17,N4,5,1264,numbers4
1997-11-19,N4,0,1268,numbers4
1997-11-21,N4,4,1272,numbers4
1997-11-24,N4,2,1276,numbers4
1997-11-26,N4,2,1280,numbers4
1997-11-28,N4,3,1284,numbers4
1997-12-01,N4,8,1288,numbers4
1997-12-03,N4,2,1292,numbers4
1997-12-05,N4,4,1296,numbers4
1997-12-08,N4,5,1300,numbers4
1997-12-10,N4,9,1304,numbers4
1997-12-12,N4,2,1308,numbers4
1997-12-15,N4,9,1312,numbers4
1997-12-17,N4,1,1316,numbers4
1997-12-19,N4,9,1320,numbers4
1997-12-22,N4,5,1324,numbers4
1997-12-24,N4,0,1328,numbers4
1997-12-26,N4,2,1332,numbers4
1997-12-29,N4,6,1336,numbers4
1998-01-05,N4,0,1340,numbers4
1998-01-07,N4,7,1344,numbers4
1998-01-09,N4,9,1348,numbers4
1998-01-12,N4,0,1352,numbers4
1998-01-14,N4,9,1356,numbers4
1998-01-16,N4,4,1360,numbers4
1998-01-19,N4,8,1364,numbers4
1998-01-21,N4,5,1368,numbers4
1998-01-23,N4,8,1372,numbers4
1998-01-26,N4,9,1376,numbers4
1998-01-28,N4,0,1380,numbers4
1998-01-30,N4,3,1384,numbers4
1998-02-02,N4,3,1388,numbers4
1998-02-04,N4,1,1392,numbers4
1998-02-06,N4,0,1396,numbers4
1998-02-09,N4,2,1400,numbers4
1998-02-11,N4,9,1404,numbers4
1998-02-13,N4,4,1408,numbers4
1998-02-16,N4,6,1412,numbers4
1998-02-18,N4,9,1416,numbers4
1998-02-20,N4,8,1420,numbers4
1998-02-23,N4,5,1424,numbers4
1998-02-25,N4,6,1428,numbers4
1998-02-27,N4,6,1432,numbers4
1998-03-02,N4,2,1436,numbers4
1998-03-04,N4,4,1440,numbers4
1998-03-06,N4,2,1444,numbers4
1998-03-09,N4,2,1448,numbers4
1998-03-11,N4,2,1452,numbers4
1998-03-13,N4,6,1456,numbers4
1998-03-16,N4,8,1460,numbers4
1998-03-18,N4,7,1464,numbers4
1998-03-20,N4,0,1468,numbers4
1998-03-23,N4,3,1472,numbers4
1998-03-25,N4,9,1476,numbers4
1998-03-27,N4,9,1480,numbers4
1998-03-30,N4,8,1484,numbers4
1998-04-01,N4,6,1488,numbers4
1998-04-03,N4,4,1492,numbers4
1998-04-06,N4,1,1496,numbers4
1998-04-08,N4,8,1500,numbers4
1998-04-10,N4,2,1504,numbers4
1998-04-13,N4,4,1508,numbers4
1998-04-15,N4,3,1512,numbers4
1998-04-17,N4,0,1516,numbers4
1998-04-20,N4,1,1520,numbers4
1998-04-22,N4,6,1524,numbers4
1998-04-24,N4,0,1528,numbers4
1998-04-27,N4,2,1532,numbers4
1998-04-29,N4,3,1536,numbers4
1998-05-01,N4,4,1540,numbers4
1998-05-04,N4,0,1544,numbers4
1998-05-06,N4,1,1548,numbers4
1998-05-08,N4,4,1552,numbers4
1998-05-11,N4,1,1556,numbers4
1998-05-13,N4,7,1560,numbers4
1998-05-15,N4,9,1564,numbers4
1998-05-18,N4,9,1568,numbers4
1998-05-20,N4,7,1572,numbers4
1998-05-22,N4,6,1576,numbers4
1998-05-25,N4,9,1580,numbers4
1998-05-27,N4,2,1584,numbers4
1998-05-29,N4,8,1588,numbers4
1998-06-01,N4,3,1592,numbers4
1998-06-03,N4,4,1596,numbers4
1998-06-05,N4,0,1600,numbers4
1998-06-08,N4,7,1604,numbers4
1998-06-10,N4,0,1608,numbers4
1998-06-12,N4,9,1612,numbers4
1998-06-15,N4,2,1616,numbers4
1998-06-17,N4,7,1620,numbers4
1998-06-19,N4,8,1624,numbers4
1998-06-22,N4,0,1628,numbers4
1998-06-24,N4,7,1632,numbers4
1998-06-26,N4,2,1636,numbers4
1998-06-29,N4,2,1640,numbers4
1998-07-01,N4,1,1644,numbers4
1998-07-03,N4,5,1648,numbers4
1998-07-06,N4,6,1652,numbers4
1998-07-08,N4,4,1656,numbers4
1998-07-10,N4,4,1660,numbers4
1998-07-13,N4,3,1664,numbers4
1998-07-15,N4,0,1668,numbers4
1998-07-17,N4,7,1672,numbers4
1998-07-20,N4,2,1676,numbers4
1998-07-22,N4,7,1680,numbers4
1998-07-24,N4,8,1684,numbers4
1998-07-27,N4,3,1688,numbers4
1998-07-29,N4,9,1692,numbers4
1998-07-31,N4,1,1696,numbers4
1998-08-03,N4,4,1700,numbers4
1998-08-05,N4,0,1704,numbers4
1998-08-07,N4,1,1708,numbers4
1998-08-10,N4,0,1712,numbers4
1998-08-12,N4,2,1716,numbers4
1998-08-14,N4,1,1720,numbers4
1998-08-17,N4,1,1724,numbers4
1998-08-19,N4,6,1728,numbers4
1998-08-21,N4,0,1732,numbers4
1998-08-24,N4,8,1736,numbers4
1998-08-26,N4,4,1740,numbers4
1998-08-28,N4,5,1744,numbers4
1998-08-31,N4,1,1748,numbers4
1998-09-02,N4,3,1752,numbers4
1998-09-04,N4,0,1756,numbers4
1998-09-07,N4,8,1760,numbers4
1998-09-09,N4,9,1764,numbers4
1998-09-11,N4,1,1768,numbers4
1998-09-14,N4,1,1772,numbers4
1998-09-16,N4,2,1776,numbers4
1998-09-18,N4,7,1780,numbers4
1998-09-21,N4,0,1784,numbers4
1998-09-23,N4,1,1788,numbers4
1998-09-25,N4,6,1792,numbers4
1998-09-28,N4,1,1796,numbers4
1998-09-30,N4,3,1800,numbers4
1998-10-02,N4,4,1804,numbers4
1998-10-05,N4,0,1808,numbers4
1998-10-07,N4,0,1812,numbers4
1998-10-09,N4,7,1816,numbers4
1998-10-12,N4,3,1820,numbers4
1998-10-14,N4,9,1824,numbers4
1998-10-16,N4,3,1828,numbers4
1998-10-19,N4,2,1832,numbers4
1998-10-21,N4,8,1836,numbers4
1998-10-23,N4,3,1840,numbers4
1998-10-26,N4,7,1844,numbers4
1998-10-28,N4,5,1848,numbers4
1998-10-30,N4,5,1852,numbers4
1998-11-02,N4,4,1856,numbers4
1998-11-04,N4,3,1860,numbers4
1998-11-06,N4,1,1864,numbers4
1998-11-09,N4,3,1868,numbers4
1998-11-11,N4,9,1872,numbers4
1998-11-13,N4,1,1876,numbers4
1998-11-16,N4,4,1880,numbers4
1998-11-18,N4,2,1884,numbers4
1998-11-20,N4,0,1888,numbers4
1998-11-23,N4,1,1892,numbers4
1998-11-25,N4,1,1896,numbers4
1998-11-27,N4,1,1900,numbers4
1998-11-30,N4,6,1904,numbers4
1998-12-02,N4,9,1908,numbers4
1998-12-04,N4,8,1912,numbers4
1998-12-07,N4,8,1916,numbers4
1998-12-09,N4,9,1920,numbers4
1998-12-11,N4,2,1924,numbers4
1998-12-14,N4,2,1928,numbers4
1998-12-16,N4,6,1932,numbers4
1998-12-18,N4,9,1936,numbers4
1998-12-21,N4,5,1940,numbers4
1998-12-23,N4,8,1944,numbers4
1998-12-25,N4,1,1948,numbers4
1998-12-28,N4,7,1952,numbers4
1998-12-30,N4,8,1956,numbers4
1999-01-04,N4,9,1960,numbers4
1999-01-06,N4,1,1964,numbers4
1999-01-08,N4,6,1968,numbers4
1999-01-11,N4,4,1972,numbers4
1999-01-13,N4,4,1976,numbers4
1999-01-15,N4,5,1980,numbers4
1999-01-18,N4,1,1984,numbers4
1999-01-20,N4,7,1988,numbers4
1999-01-22,N4,2,1992,numbers4
1999-01-25,N4,6,1996,numbers4
1999-01-27,N4,9,2000,numbers4
1999-01-29,N4,0,2004,numbers4
1999-02-01,N4,7,2008,numbers4
1999-02-03,N4,7,2012,numbers4
1999-02-05,N4,2,2016,numbers4
1999-02-08,N4,9,2020,numbers4
1999-02-10,N4,6,2024,numbers4
1999-02-12,N4,5,2028,numbers4
1999-02-15,N4,7,2032,numbers4
1999-02-17,N4,5,2036,numbers4
1999-02-19,N4,0,2040,numbers4
1999-02-22,N4,8,2044,numbers4
1999-02-24,N4,8,2048,numbers4
1999-02-26,N4,9,2052,numbers4
1999-03-01,N4,6,2056,numbers4
1999-03-03,N4,1,2060,numbers4
1999-03-05,N4,1,2064,numbers4
1999-03-08,N4,2,2068,numbers4
1999-03-10,N4,4,2072,numbers4
1999-03-12,N4,0,2076,numbers4
1999-03-15,N4,5,2080,numbers4
1999-03-17,N4,2,2084,numbers4
1999-03-19,N4,7,2088,numbers4
1999-03-22,N4,1,2092,numbers4
1999-03-24,N4,6,2096,numbers4
1999-03-26,N4,7,2100,numbers4
1999-03-29,N4,3,2104,numbers4
1999-03-31,N4,6,2108,numbers4
1999-04-02,N4,4,2112,numbers4
1999-04-05,N4,4,2116,numbers4
1999-04-07,N4,9,2120,numbers4
1999-04-09,N4,9,2124,numbers4
1999-04-12,N4,0,2128,numbers4
1999-04-14,N4,9,2132,numbers4
1999-04-16,N4,1,2136,numbers4
1999-04-19,N4,8,2140,numbers4
1999-04-21,N4,0,2144,numbers4
1999-04-23,N4,2,2148,numbers4
1999-04-26,N4,5,2152,numbers4
1999-04-28,N4,8,2156,numbers4
1999-04-30,N4,6,2160,numbers4
1999-05-03,N4,7,2164,numbers4
1999-05-05,N4,4,2168,numbers4
1999-05-07,N4,9,2172,numbers4
1999-05-10,N4,5,2176,numbers4
1999-05-12,N4,3,2180,numbers4
1999-05-14,N4,3,2184,numbers4
1999-05-17,N4,3,2188,numbers4
1999-05-19,N4,0,2192,numbers4
1999-05-21,N4,4,2196,numbers4
1999-05-24,N4,3,2200,numbers4
1999-05-26,N4,3,2204,numbers4
1999-05-28,N4,6,2208,numbers4
1999-05-31,N4,9,2212,numbers4
1999-06-02,N4,1,2216,numbers4
1999-06-04,N4,8,2220,numbers4
1999-06-07,N4,5,2224,numbers4
1999-06-09,N4,1,2228,numbers4
1999-06-11,N4,7,2232,numbers4
1999-06-14,N4,1,2236,numbers4
1999-06-16,N4,4,2240,numbers4
1999-06-18,N4,4,2244,numbers4
1999-06-21,N4,4,2248,numbers4
1999-06-23,N4,9,2252,numbers4
1999-06-25,N4,2,2256,numbers4
1999-06-28,N4,6,2260,numbers4
1999-06-30,N4,3,2264,numbers4
1999-07-02,N4,6,2268,numbers4
1999-07-05,N4,9,2272,numbers4
1999-07-07,N4,9,2276,numbers4
1999-07-09,N4,0,2280,numbers4
1999-07-12,N4,7,2284,numbers4
1999-07-14,N4,3,2288,numbers4
1999-07-16,N4,5,2292,numbers4
1999-07-19,N4,0,2296,numbers4
1999-07-21,N4,3,2300,numbers4
1999-07-23,N4,3,2304,numbers4
1999-07-26,N4,1,2308,numbers4
1999-07-28,N4,9,2312,numbers4
1999-07-30,N4,6,2316,numbers4
1999-08-02,N4,1,2320,numbers4
1999-08-04,N4,3,2324,numbers4
1999-08-06,N4,5,2328,numbers4
1999-08-09,N4,9,2332,numbers4
1999-08-11,N4,3,2336,numbers4
1999-08-13,N4,1,2340,numbers4
1999-08-16,N4,2,2344,numbers4
1999-08-18,N4,0,2348,numbers4
1999-08-20,N4,5,2352,numbers4
1999-08-23,N4,9,2356,numbers4
1999-08-25,N4,9,2360,numbers4
1999-08-27,N4,8,2364,numbers4
1999-08-30,N4,7,2368,numbers4
1999-09-01,N4,6,2372,numbers4
1999-09-03,N4,0,2376,numbers4
1999-09-06,N4,0,2380,numbers4
1999-09-08,N4,1,2384,numbers4
1999-09-10,N4,2,2388,numbers4
1999-09-13,N4,2,2392,numbers4
1999-09-15,N4,8,2396,numbers4
1999-09-17,N4,2,2400,numbers4
1999-09-20,N4,8,2404,numbers4
1999-09-22,N4,5,2408,numbers4
1999-09-24,N4,4,2412,numbers4
1999-09-27,N4,5,2416,numbers4
1999-09-29,N4,8,2420,numbers4
1999-10-01,N4,7,2424,numbers4
1999-10-04,N4,6,2428,numbers4
1999-10-06,N4,3,2432,numbers4
1999-10-08,N4,2,2436,numbers4
1999-10-11,N4,1,2440,numbers4
1999-10-13,N4,6,2444,numbers4
1999-10-15,N4,8,2448,numbers4
1999-10-18,N4,0,2452,numbers4
1999-10-20,N4,3,2456,numbers4
1999-10-22,N4,1,2460,numbers4
1999-10-25,N4,7,2464,numbers4
1999-10-27,N4,2,2468,numbers4
1999-10-29,N4,2,2472,numbers4
1999-11-01,N4,9,2476,numbers4
1999-11-03,N4,4,2480,numbers4
1999-11-05,N4,3,2484,numbers4
1999-11-08,N4,1,2488,numbers4
1999-11-10,N4,4,2492,numbers4
1999-11-12,N4,6,2496,numbers4
1999-11-15,N4,7,2500,numbers4
1999-11-17,N4,4,2504,numbers4
1999-11-19,N4,5,2508,numbers4
1999-11-22,N4,5,2512,numbers4
1999-11-24,N4,7,2516,numbers4
1999-11-26,N4,5,2520,numbers4
1999-11-29,N4,0,2524,numbers4
1999-12-01,N4,6,2528,numbers4
1999-12-03,N4,2,2532,numbers4
1999-12-06,N4,5,2536,numbers4
1999-12-08,N4,9,2540,numbers4
1999-12-10,N4,6,2544,numbers4
1999-12-13,N4,5,2548,numbers4
1999-12-15,N4,9,2552,numbers4
1999-12-17,N4,0,2556,numbers4
1999-12-20,N4,2,2560,numbers4
1999-12-22,N4,2,2564,numbers4
1999-12-24,N4,3,2568,numbers4
1999-12-27,N4,1,2572,numbers4
1999-12-29,N4,1,2576,numbers4
2000-01-05,N4,7,2580,numbers4
2000-01-07,N4,7,2584,numbers4
2000-01-10,N4,8,2588,numbers4
2000-01-12,N4,3,2592,numbers4
2000-01-14,N4,9,2596,numbers4
2000-01-17,N4,8,2600,numbers4
2000-01-19,N4,3,2604,numbers4
2000-01-21,N4,9,2608,numbers4
2000-01-24,N4,2,2612,numbers4
2000-01-26,N4,8,2616,numbers4
2000-01-28,N4,7,2620,numbers4
2000-01-31,N4,9,2624,numbers4
2000-02-02,N4,0,2628,numbers4
2000-02-04,N4,5,2632,numbers4
2000-02-07,N4,1,2636,numbers4
2000-02-09,N4,3,2640,numbers4
2000-02-11,N4,4,2644,numbers4
2000-02-14,N4,0,2648,numbers4
2000-02-16,N4,2,2652,numbers4
2000-02-18,N4,6,2656,numbers4
2000-02-21,N4,3,2660,numbers4
2000-02-23,N4,9,2664,numbers4
2000-02-25,N4,3,2668,numbers4
2000-02-28,N4,2,2672,numbers4
2000-03-01,N4,7,2676,numbers4
2000-03-03,N4,6,2680,numbers4
2000-03-06,N4,6,2684,numbers4
2000-03-08,N4,4,2688,numbers4
2000-03-10,N4,3,2692,numbers4
2000-03-13,N4,4,2696,numbers4
2000-03-15,N4,3,2700,numbers4
2000-03-17,N4,7,2704,numbers4
2000-03-20,N4,9,2708,numbers4
2000-03-22,N4,4,2712,numbers4
2000-03-24,N4,7,2716,numbers4
2000-03-27,N4,9,2720,numbers4
2000-03-29,N4,6,2724,numbers4
2000-03-31,N4,5,2728,numbers4
2000-04-03,N4,9,2732,numbers4
2000-04-05,N4,2,2736,numbers4
2000-04-07,N4,4,2740,numbers4
2000-04-10,N4,0,2744,numbers4
2000-04-12,N4,0,2748,numbers4
2000-04-14,N4,6,2752,numbers4
2000-04-17,N4,3,2756,numbers4
2000-04-19,N4,0,2760,numbers4
2000-04-21,N4,3,2764,numbers4
2000-04-24,N4,6,2768,numbers4
2000-04-26,N4,9,2772,numbers4
2000-04-28,N4,5,2776,numbers4
2000-05-01,N4,5,2780,numbers4
2000-05-03,N4,7,2784,numbers4
2000-05-05,N4,9,2788,numbers4
2000-05-08,N4,6,2792,numbers4
2000-05-10,N4,2,2796,numbers4
2000-05-12,N4,2,2800,numbers4
2000-05-15,N4,6,2804,numbers4
2000-05-17,N4,1,2808,numbers4
2000-05-19,N4,1,2812,numbers4
2000-05-22,N4,3,2816,numbers4
2000-05-24,N4,2,2820,numbers4
2000-05-26,N4,2,2824,numbers4
2000-05-29,N4,8,2828,numbers4
2000-05-31,N4,1,2832,numbers4
2000-06-02,N4,2,2836,numbers4
2000-06-05,N4,9,2840,numbers4
